country,country_code,quarter,year,Quarter,GDP_nom,GDP_real,Consumption,Investment,Export,Import,CurrentAccount,CurrentAccount_GDP,TradeBalance,TradeBalance_GDP,int_rate,reer,VA_A,VA_B_E,VA_C,VA_F,VA_G_I,VA_J,VA_K,VA_L,VA_M_N,VA_O_Q,VA_R_U,EMP_A,EMP_B_E,EMP_C,EMP_F,EMP_G_I,EMP_J,EMP_K,EMP_L,EMP_M_N,EMP_O_Q,EMP_R_U,temp,rf_int_rate,spread
SWEDEN,SE,2001q1,2001,2001q1,68447.703,76217.39999999999,56331.1,16986.9,30674.7,28704.8,3282.4,4.9,1969.900000000001,2.584580423892709,4.8299999,108.84248,1190.4,15969.4,13167.2,4679.3999,12046.4,2879.3999,3175.3999,7070.2002,6549.7998,19308.9,2345.3999,91.39999842643738,35.79999971389771,747.2000122070313,224,914.8999710083008,,89.80000305175781,532.7000122070313,207.1000061035156,1328.599990844727,0,,4.75,.079999924
SWEDEN,SE,2001q2,2001,2001q2,68653.898,76233.8,56458.5,16897.4,30105.9,27647.8,2424.3,3.4,2458.100000000002,3.224422762606616,5.1900001,108.0257,1198.4,15999.1,13190.4,4803.6001,12013.3,2907.1001,3114.8,7232.2998,6522.7998,19326.4,2347.3999,98.40000152587891,35.40000057220459,747.9000244140625,231.3999938964844,931.1000213623047,,90.30000305175781,548.2000122070313,219.1000061035156,1353.399993896484,0,,4.96,.23000002
SWEDEN,SE,2001q3,2001,2001q3,66444.898,76525.2,56615.9,17062.9,30401.5,27242,3302,5.2,3159.5,4.128705315373236,5.2800002,104.66554,1220.3,16009.5,13151.5,4805.2998,12050,2910,3186.6001,7287.7002,6599.2002,19389.699,2353.3999,99,33.80000019073486,748.7999877929688,240.3999938964844,941.5999908447266,,89.40000152587891,562.7000122070313,220.8000030517578,1367.5,0,,4.8800001,.4000001
SWEDEN,SE,2001q4,2001,2001q4,67279.398,77169.2,56695.5,17673.6,30759.8,27304.6,3662.4,5.3,3455.200000000001,4.477434002166668,5.1199999,104.43707,1215.9,16428.9,13573.5,4810.8999,12007.6,2859.3,3158.1001,7091.6001,6716.7002,19626.5,2332.5,94.69999694824219,33.69999980926514,727.7000122070313,231.3999938964844,914,,88.09999847412109,557.5999755859375,216.3000030517578,1356.300018310547,0,,4.5999999,.51999998
SWEDEN,SE,2002q1,2002,2002q1,69573.898,77079.10000000001,57472.2,16360.9,31046,27632.2,3920,5.8,3413.799999999999,4.428956747029997,5.4200001,107.17227,1239.9,16299.9,13472.7,4905.5,12093.9,2839.7,3281.7,7083,6591.6001,19708.301,2400.8999,89.69999694824219,31.50000095367432,712.7000122070313,222.8999938964844,902.3000030517578,,88.90000152587891,562.7000122070313,214.8999938964844,1357.399993896484,0,,4.98,.44000006
SWEDEN,SE,2002q2,2002,2002q2,70958,78268.10000000001,57701.3,17232.9,31328.8,27471.5,3859.2,5.3,3857.299999999999,4.928316900499691,5.6300001,107.42031,1244.8,16814.6,13936.7,4805,12329.5,2861.3,3280.6001,7176.1001,6639.2002,19880.6,2394,93.5,32.29999971389771,717.0999755859375,235,921.0999908447266,,90.19999694824219,568.2999877929688,219.8000030517578,1386.499984741211,0,,5.1100001,.51999998
SWEDEN,SE,2002q3,2002,2002q3,70907,78733.5,57708.4,16973.2,30500.4,27038.6,2837.6,4.2,3461.800000000003,4.396857754323132,5.1599998,106.20537,1231.6,16825.801,13983.7,4879.1001,12507.5,2812.6001,3243.3999,7223.5,6561.7002,19892.699,2435.7,93.79999685287476,33.60000085830688,723.7000122070313,243.6999969482422,936.0999908447266,,90.59999847412109,566.7999877929688,225.1999969482422,1396.100006103516,0,,4.6100001,.54999971
SWEDEN,SE,2002q4,2002,2002q4,72476.703,78873.89999999999,58150.2,17117.3,31151.4,27527.7,1956,2.6,3623.700000000001,4.594295451347024,5,108.24127,1255.6,17098.1,14212.8,4889.2998,12670.2,2820.5,3240.8999,6853.2998,6461.6001,19808.4,2391.6001,88.5,33.49999904632568,704.7000122070313,237.6999969482422,904.4999923706055,,90,558.7999877929688,215.3999938964844,1388.000015258789,0,,4.4200001,.57999992
SWEDEN,SE,2003q1,2003,2003q1,73274.602,79773.39999999999,58199.8,17726.5,31745.2,28210.5,3691.3,5.2,3534.700000000001,4.430925596752804,4.5799999,107.75306,1241.9,17222,14458.9,4792.2998,12887.7,2954.8999,3306.6001,7262.2998,6576.8999,20035.699,2423.1001,86.19999694824219,32.49999952316284,689.5,225.6000061035156,901.4000091552734,,88.5,545.2000122070313,222.5,1380.700012207031,0,,4.04,.53999996
SWEDEN,SE,2003q2,2003,2003q2,73019.398,79339.5,58330.9,17241.6,31954,28011.8,4366.7,5.8,3942.200000000001,4.96877343567832,4.4299998,107.91505,1232.1,16971.9,14174.4,4887.5,12865.3,2961.3,3340,7161,6571.6001,19955.9,2407.1001,90.30000305175781,34.10000038146973,696.5,242.3000030517578,924.400016784668,,90.19999694824219,553.7999877929688,227.5,1411.600036621094,0,,3.8599999,.56999993
